name,address,city,state,zip,phone,LAT,LON,hasSpecialties,ADDICTION MEDICINE,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ALLERGY/IMMUNOLOGY,ANESTHESIOLOGY,ANESTHESIOLOGY ASSISTANT,AUDIOLOGIST,CARDIAC ELECTROPHYSIOLOGY,CARDIAC SURGERY,CARDIOVASCULAR DISEASE (CARDIOLOGY),CERTIFIED NURSE MIDWIFE,CERTIFIED REGISTERED NURSE ANESTHETIST,CHIROPRACTIC,CLINICAL NURSE SPECIALIST,CLINICAL PSYCHOLOGIST,CLINICAL SOCIAL WORKER,COLORECTAL SURGERY (PROCTOLOGY),CRITICAL CARE (INTENSIVISTS),DENTIST,DERMATOLOGY,DIAGNOSTIC RADIOLOGY,EMERGENCY MEDICINE,ENDOCRINOLOGY,FAMILY PRACTICE,GASTROENTEROLOGY,GENERAL PRACTICE,GENERAL SURGERY,GERIATRIC MEDICINE,GERIATRIC PSYCHIATRY,GYNECOLOGICAL ONCOLOGY,HAND SURGERY,HEMATOLOGY,HEMATOLOGY/ONCOLOGY,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR TH,HOSPICE/PALLIATIVE CARE,HOSPITALIST,INFECTIOUS DISEASE,INTERNAL MEDICINE,INTERVENTIONAL CARDIOLOGY,INTERVENTIONAL PAIN MANAGEMENT,INTERVENTIONAL RADIOLOGY,MAXILLOFACIAL SURGERY,MEDICAL ONCOLOGY,NEPHROLOGY,NEUROLOGY,NEUROPSYCHIATRY,NEUROSURGERY,NUCLEAR MEDICINE,NURSE PRACTITIONER,OBSTETRICS/GYNECOLOGY,OCCUPATIONAL THERAPY,OPHTHALMOLOGY,OPTOMETRY,ORAL SURGERY,ORTHOPEDIC SURGERY,OSTEOPATHIC MANIPULATIVE MEDICINE,OTOLARYNGOLOGY,PAIN MANAGEMENT,PATHOLOGY,PEDIATRIC MEDICINE,PERIPHERAL VASCULAR DISEASE,PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL THERAPY,PHYSICIAN ASSISTANT,PLASTIC AND RECONSTRUCTIVE SURGERY,PODIATRY,PREVENTATIVE MEDICINE,PSYCHIATRY,PULMONARY DISEASE,RADIATION ONCOLOGY,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,RHEUMATOLOGY,SLEEP MEDICINE,SPEECH LANGUAGE PATHOLOGIST,SPORTS MEDICINE,SURGICAL ONCOLOGY,THORACIC SURGERY,UNDEFINED PHYSICIAN TYPE (SPECIFY),UROLOGY,VASCULAR SURGERY,id
Western Queensland,1 Burns Street,Alpha,Queensland,4724,07 4809 7000,-23.649039,146.632962,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP15
Murray,36-42 Cobden Street,Bright,Victoria,3741,03 5755 0100,-36.732701,146.965924,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP16
Murray,10 Hollonds Street,Mt Beauty,Victoria,3699,03 5754 3500,-36.743354,147.169359,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP17
Murray,30 O'Donnell Avenue,Myrtleford,Victoria,3736,03 5751 9300,-36.554525,146.728795,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP18
Country SA,29 North Street,Angaston,South Australia,5353,08 8563 8500,-34.503549,139.054715,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP19
Eastern Melbourne,Albert Street,Upper Ferntree Gully,Victoria,3156,1300 342 255,-37.898663,145.314166,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP20
Perth South,3056 Albany Highway,Armadale,Western Australia,6112,08 9391 2000,-32.133212,116.020023,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP21
Hunter New England and Central Coast,226 Rusden Street,Armidale,New South Wales,2350,02 6776 9500,-30.512726,151.655629,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP22
,Rusden Street,Armidale,New South Wales,2350,02 6771 4000,-30.512719,151.654565,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP23
,55 Anzac Highway,Ashford,South Australia,5035,08 8375 5222,-34.948142,138.576725,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP24
Northern Queensland,Corner of Louise and Jack Streets,Atherton,Queensland,4883,07 4091 0211,-17.266635,145.483177,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP25
,21 Hislop Road,Attadale,Western Australia,6156,08 9330 1000,-32.029729,115.810669,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP26
Western Sydney,18-20 Hargrave Road,Auburn,New South Wales,2144,02 8759 3000,-33.859867,151.033204,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP27
Western Queensland,Cavanagh Street,Augathella,Queensland,4477,07 4656 7100,-25.796104,146.590919,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP28
Country WA,Donovan Street,Augusta,Western Australia,6290,08 9758 3222,-34.305814,115.157983,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP29
Eastern Melbourne,145 Studley Road,Heidelberg,Victoria,3084,03 9496 5000,-37.756355,145.060236,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP30
Northern Queensland,2 Chippendale Street,Ayr,Queensland,4807,07 4783 0855,-19.564066,147.408821,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP31
Northern Queensland,128 Munro Street,Babinda,Queensland,4861,07 4067 8200,-17.343079,145.918908,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP32
Darling Downs and West Moreton,Corner of Hogg and Tor Streets,Toowoomba,Queensland,4350,07 4699 8888,-27.524371,151.936283,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP33
Gippsland,122 Day Street,Bairnsdale,Victoria,3875,03 5150 3333,-37.830814,147.607905,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP34
Country SA,16 War Memorial Drive,Balaklava,South Australia,5461,08 8862 1400,-34.139594,138.419596,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP35
,1119-1123 Howitt Street,Wendouree,Victoria,3350,03 5338 2666,-37.540799,143.83214,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP36
Western Victoria,1 Dummond Street North,Ballarat Central,Victoria,3350,03 5320 4000,-37.559658,143.847041,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP37
Western Victoria,102 Ascot Street,Ballarat,Victoria,3350,03 5320 3700,-37.564276,143.843264,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP38
,"Suite 6, 46 Tamar Street",Ballina,New South Wales,2478,02 6681 9999,-28.870711,153.563241,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP39
North Coast,78-92 Cherry Street,Ballina,New South Wales,2478,02 6686 2111,-28.863525,153.564013,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP40
Central and Eastern Sydney,29 Booth Street,Balmain,New South Wales,2041,02 9395 2111,-33.859469,151.181469,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP41
Western NSW,41-43 Court Street,Balranald,New South Wales,2715,03 5071 9800,-34.644549,143.568413,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP42
Northern Queensland,Sagaukaz Street,Bamaga,Queensland,4876,07 4069 3166,-10.893996,142.385131,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP43
South Western Sydney,68 Eldridge Road,Bankstown,New South Wales,2200,02 9722 8000,-33.933088,151.020823,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP44
Western NSW,5-9 Macquarie Street,Baradine,New South Wales,2396,02 6843 4100,-30.945316,149.066189,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP45
"Central Queensland, Wide Bay and Sunshine Coast",Stopford Street,Baralaba,Queensland,4702,07 4998 2800,-24.184268,149.809586,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP46
Western Queensland,Oak Street,Barcaldine,Queensland,4725,07 4650 4000,-23.553316,145.293674,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP47
Murrumbidgee,70 Punt Road,Barham,New South Wales,2732,03 5451 1000,-35.623823,144.133479,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP48
,31 Mackays Road,Coffs Harbour,New South Wales,2450,02 6659 4444,-30.278813,153.102893,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP49
Country SA,Hawdon Street,Barmera,South Australia,5345,08 8588 0400,-34.249146,140.471706,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP50
Hunter New England and Central Coast,Edward Street,Barraba,New South Wales,2347,02 6782 2500,-30.382482,150.605778,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP51
Gippsland,235 Graham Street,Wonthaggi,Victoria,3995,03 5671 3333,-38.608747,145.580906,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP52
South Eastern NSW,7 Pacific Street,Batemans Bay,New South Wales,2536,02 4475 1500,-35.714055,150.182375,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP53
Western NSW,361-365 Howick Street,Bathurst,New South Wales,2795,02 6330 5311,-33.406512,149.572699,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP54
,Gorman's Hill Road,Bathurst,New South Wales,2795,02 6331 7766,-33.435215,149.589242,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP55
Murrumbidgee,61-81 Pioneer Street,Batlow,New South Wales,2730,02 6941 4333,-35.521951,148.147891,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP56
Tasmania,13 Bolton Street,Beaconsfield,Tasmania,7270,03 6702 6060,-41.193478,146.806719,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP57
Brisbane South,64 Tina Street,Beaudesert,Queensland,4285,07 5541 9111,-27.984869,153.002536,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP58
Western Victoria,28 Havelock Street,Beaufort,Victoria,3373,03 5349 1600,-37.431028,143.382284,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP59
Western Victoria,Blake Street,Skipton,Victoria,3361,03 5340 1100,-37.683998,143.367547,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP60
Murray,52 Sydney Road,Beechworth,Victoria,3747,03 5728 0200,-36.349359,146.690739,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP61
,31 Parker Street,Bega,New South Wales,2550,02 6492 4144,-36.673617,149.845812,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP62
,925 Nepean Highway,Mornington,Victoria,3931,03 5976 0888,-38.225484,145.049136,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP63
,198 Canterbury Road,Blackburn South,Victoria,3130,03 9845 2333,-37.833073,145.156018,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP64
North Coast,43 Church Street,Bellingen,New South Wales,2454,02 6659 5800,-30.457256,152.893209,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP65
Hunter New England and Central Coast,16 Croudace Bay Road,Belmont,New South Wales,2280,02 4923 2000,-33.024631,151.648181,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP66
Murray,45-53 Coster Street,Benalla,Victoria,3672,03 5760 2222,-36.555239,145.994675,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP67
Murray,100 Barnard Street,Bendigo,Victoria,3550,03 5454 6000,-36.750919,144.280399,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP68
Perth South,18-56 Mills Street,Bentley,Western Australia,6102,08 9416 3666,-32.005332,115.927922,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP69
,Lorraine Avenue,Berkeley Vale,New South Wales,2261,02 4389 9100,-33.337061,151.432784,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP70
Murrumbidgee,137-143 Memorial Place,Berrigan,New South Wales,2712,03 5888 5300,-35.662312,145.813035,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP71
,22 Langmore Lane,Berwick,Victoria,3806,03 9768 9210,-38.033667,145.346487,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP72
,25 Queenslea Drive,Claremont,Western Australia,6010,08 9340 6300,-31.986967,115.778484,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP73
Country WA,Sewell Street,Beverley,Western Australia,6304,08 9646 3200,-32.102825,116.922962,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP74
"Central Queensland, Wide Bay and Sunshine Coast",Alice Street,Biggenden,Queensland,4621,07 4127 6400,-25.506406,152.051099,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP75
"Central Queensland, Wide Bay and Sunshine Coast",2 Hospital Road,Biloela,Queensland,4715,07 4992 7000,-24.395813,150.517491,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP76
Hunter New England and Central Coast,Keera Street,Bingara,New South Wales,2404,02 6728 0100,-29.864055,150.579235,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP77
Western Queensland,Shamrock Street,Blackall,Queensland,4472,07 4650 7700,-24.422705,145.449349,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP78
Western Sydney,Blacktown Road,Blacktown,New South Wales,2148,02 9881 8000,-33.775552,150.917537,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP79
"Central Queensland, Wide Bay and Sunshine Coast",Mackenzie Street,Blackwater,Queensland,4717,07 4980 1800,-23.571873,148.878219,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP80
Western NSW,3 Osman Street,Blayney,New South Wales,2799,02 6368 9000,-33.537728,149.248988,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP81
Nepean Blue Mountains,Lot 3 Woodlands Road,Katoomba,New South Wales,2780,02 4784 6500,-33.705329,150.32111,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCP82
