,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
78,78,Blackall Hospital,Shamrock Street,Blackall,Queensland,4472,,746507700,Public,Public,No,,-24.422705,145.449349
79,79,Blacktown Hospital,Blacktown Road,Blacktown,New South Wales,2148,,298818000,Public,Public,Yes,,-33.775552,150.917537
80,80,Blackwater Hospital,Mackenzie Street,Blackwater,Queensland,4717,,749801800,Public,Public,No,,-23.571873,148.878219
81,81,Blayney Multi Purpose Service,3 Osman Street,Blayney,New South Wales,2799,,263689000,Public,Public,No,,-33.537728,149.248988
82,82,Blue Mountains Hospital,Lot 3 Woodlands Road,Katoomba,New South Wales,2780,,247846500,Public,Public,No,,-33.705329,150.32111
83,83,Boddington Hospital,46-53 Hotham Avenue,Boddington,Western Australia,6390,,898834444,Public,Public,No,,-32.803715,116.475774
84,84,Boggabri Multi Purpose Service,3 Wee Waa Street,Boggabri,New South Wales,2382,,267497000,Public,Public,No,,-30.711502,150.040014
85,85,Bombala Multi Purpose Service,126-128 Wellington Street,Bombala,New South Wales,2632,,264585777,Public,Public,No,,-36.917513,149.235372
86,86,Bonalbo Hospital,Clarence Way,Bonalbo,New South Wales,2469,,266651203,Public,Public,No,,-28.733777,152.622789
87,87,Booleroo Centre District Hospital and Health Services,Stephens Street,Booleroo Centre,South Australia,5482,,886672211,Public,Public,No,,-32.877911,138.350958
88,88,Boonah Hospital,11-17 Leonard Street,Boonah,Queensland,4310,,754633300,Public,Public,No,,-27.999128,152.678943
89,89,Boorowa Multi Purpose Service,62-80 Dry Street,Boorowa,New South Wales,2586,,263853004,Public,Public,No,,-34.442822,148.727073
90,90,Boort District Health,31 Kiniry Street,Boort,Victoria,3537,,354515200,Public,Public,No,,-36.111703,143.727285
91,91,Bordertown Memorial Hospital,23 South Terrace,Bordertown,South Australia,5268,,887529000,Public,Public,No,,-36.312133,140.766438
92,92,Bourke Multi Purpose Service,26 Tarcoon Street,Bourke,New South Wales,2840,,268708888,Public,Public,No,,-30.092823,145.947983
93,93,Bourke Street Health Service,234 Bourke Street,Goulburn,New South Wales,2580,,248237800,Public,Public,No,,-34.748721,149.719321
94,94,Bowen Hospital,Gregory Street,Bowen,Queensland,4805,,747868222,Public,Public,No,,-20.007104,148.240327
95,95,Bowral Hospital,Lot 3 Mona Road,Bowral,New South Wales,2576,,248610200,Public,Public,No,,-34.485043,150.423796
96,96,Box Hill Hospital,8 Arnold Street,Box Hill,Victoria,3128,,1300342255,Public,Public,Yes,,-37.813682,145.119094
97,97,Boyup Brook Soldiers Memorial Hospital,Hospital Road,Boyup Brook,Western Australia,6244,,897650222,Public,Public,No,,-33.839231,116.390639
98,98,Braeside Hospital,340 Prairie Vale Road,Prairiewood,New South Wales,2176,,296168600,Public,Public,No,,-33.861917,150.902192
99,99,Braidwood Multi Purpose Service,77 Monkittee Street,Braidwood,New South Wales,2622,,248422566,Public,Public,No,,-35.443216,149.805302
100,100,Brewarrina Multi Purpose Service,56 Doyle Street,Brewarrina,New South Wales,2839,,268305000,Public,Public,No,,-29.961627,146.863796
101,101,Bridgetown Hospital,16-18 Peninsula Road,Bridgetown,Western Australia,6255,,897821222,Public,Public,No,,-33.951681,116.132183
102,102,Brindabella Endoscopy and Day Surgery Centre,"Suite 7, 5 Dann Close",Garran,Australian Capital Territory,2605,,262827788,Private,Private,No,,-35.3495,149.1031
103,103,Brisbane Endoscopy Services,Suites 16-18/259 McCullough Street,Sunnybank,Queensland,4109,,733441844,Private,Private,No,,-27.572418,153.061985
104,104,Brisbane Private Hospital,259 Wickham Terrace,Brisbane,Queensland,4000,,738346111,Private,Private,Yes,,-27.464756,153.022642
105,105,Brisbane Waters Private Hospital,21 Vidler Avenue,Woy Woy,New South Wales,2256,,243419522,Private,Private,No,,-33.495233,151.321708
106,106,Broadmeadows Health Service,35 Johnstone Street,Broadmeadows,Victoria,3047,,383455000,Public,Public,Yes,,-37.684321,144.913106
107,107,Broken Hill Hospital,176 Thomas Street,Broken Hill,New South Wales,2880,,880801333,Public,Public,Yes,,-31.947609,141.454703
108,108,Broome Hospital,Robinson Street,Broome,Western Australia,6725,,891942222,Public,Public,No,,-17.960975,122.236289
109,109,Bruce Rock Memorial Hospital,35 Dunstall Street,Bruce Rock,Western Australia,6418,,890611311,Public,Public,No,,-31.873038,118.146414
110,110,Buderim Gastroenterology Centre,"Suite 5, 102 Wises Road",Maroochydore,Queensland,4558,,754754464,Private,Private,No,,-26.671731,153.084944
111,111,Buderim Private Hospital,12 Elsa Wilson Drive,Buderim,Queensland,4556,,754303303,Private,Private,Yes,,-26.683988,153.092895
112,112,Bulahdelah Hospital,Richmond Street,Bulahdelah,New South Wales,2423,,249879900,Public,Public,No,,-32.403949,152.210029
113,113,Bulli Hospital,Hospital Road,Bulli,New South Wales,2516,,242844344,Public,Public,No,,-34.336667,150.907344
114,114,Bunbury Hospital,Corner of Robertson Drive and Bussell Highway,Bunbury,Western Australia,6230,,897221000,Public,Public,Yes,,-33.366986,115.648183
115,115,Bundaberg Base Hospital,Bourbong Street,Bundaberg,Queensland,4670,,741502222,Public,Public,Yes,,-24.868877,152.336157
116,116,Bundoora Extended Care Centre,1231 Plenty Road,Bundoora,Victoria,3083,,394953100,Public,Public,No,,-37.701124,145.055569
117,117,Burnside War Memorial Hospital,120 Kensington Road,Toorak Gardens,South Australia,5065,,882027222,Private,Private,No,,-34.927126,138.638878
118,118,Burra Hospital,46 Commercial Street,Burra,South Australia,5417,,888922300,Public,Public,No,,-33.685486,138.934577
119,119,Busselton Health Campus,Mill Road,Busselton,Western Australia,6280,,897536000,Public,Public,No,,-33.654351,115.319581
120,120,Byron Central Hospital,54 Ewingsdale Road,Ewingsdale,New South Wales,2481,,266399400,Public,Public,No,,-28.637365,153.555898
121,121,Caboolture Hospital,McKean Street,Caboolture,Queensland,4510,,754338888,Public,Public,Yes,,-27.080776,152.963623
122,122,Caboolture Private Hospital,McKean Street,Caboolture,Queensland,4510,,754959400,Private,Private,No,,-27.080318,152.963628
123,123,Cabrini Brighton,243 New Street,Brighton,Victoria,3186,,395088777,Private,Private,Yes,,-37.91165,144.991572
124,124,Cabrini Health Elsternwick Rehabilitation - Glenhuntly Rd,494 Glenhuntly Road,Elsternwick,Victoria,3185,,395085200,Private,Private,No,,-37.88543,145.009328
125,125,Cabrini Health Elsternwick Rehabilitation - Hopetoun,2-6 Hopetoun Street,Elsternwick,Victoria,3185,,395085100,Private,Private,No,,-37.884778,145.01039
126,126,Cabrini Malvern,183 Wattletree Road,Malvern,Victoria,3144,,395081222,Private,Private,Yes,,-37.861641,145.0335
127,127,Cabrini Prahran,646 High Street,Prahran,Victoria,3181,,395081000,Private,Private,No,,-37.854034,145.009017
128,128,Cairns Day Surgery,156-160 Grafton Street,Cairns,Queensland,4870,,740515454,Private,Private,Yes,,-16.918973,145.771955
129,129,Cairns Hospital,The Esplanade,Cairns,Queensland,4870,,742260000,Public,Public,Yes,,-16.912537,145.768522
130,130,Cairns Private Hospital,1 Upward Street,Cairns,Queensland,4870,,740525200,Private,Private,Yes,,-16.918854,145.772282
131,131,Caloundra Hospital,West Terrace,Caloundra,Queensland,4551,,754368500,Public,Public,No,,-26.800582,153.119759
132,132,Caloundra Private Clinic,96 Beerburrum Street,Caloundra,Queensland,4551,,754911522,Private,Private,No,,-26.782379,153.125534
133,133,Calvary Central Districts Hospital,25-37 Jarvis Road,Elizabeth Vale,South Australia,5112,,882504111,Private,Private,No,,-34.75542,138.656221
134,134,Calvary Health Care Bethlehem,152 Como Parade West,Parkdale,Victoria,3195,,395962853,Public,Public,No,,-37.896962,145.013415
135,135,Calvary Health Care Riverina,Hardy Avenue,Wagga Wagga,New South Wales,2650,,269253055,Private,Private,No,,-35.118702,147.352811
136,136,Calvary Health Care Tasmania - Lenah Valley Campus,49 Augusta Road,Lenah Valley,Tasmania,7008,,362785333,Private,Private,Yes,,-42.866099,147.303614
137,137,Calvary Health Care Tasmania - St John's Campus,30 Cascade Road,South Hobart,Tasmania,7004,,363237444,Private,Private,No,,-42.895314,147.305975
138,138,Calvary Health Care Tasmania - St Luke's Campus,24 Lyttleton Street,Launceston,Tasmania,7250,,363353333,Private,Private,No,,-41.433895,147.149521
139,139,Calvary Health Care Tasmania - St Vincent's Campus,5 Frederick Street,Launceston,Tasmania,7250,,363324999,Private,Private,No,,-41.441013,147.141308
140,140,Calvary Hospital,91-101 Rocky Point Road,Kogarah,New South Wales,2217,,295533111,Public,Public,Yes,,-33.976132,151.136206
141,141,Calvary John James Hospital,173 Strickland Crescent,Deakin,Australian Capital Territory,2600,,262818100,Private,Private,Yes,,-35.319869,149.095662
142,142,Calvary Mater Newcastle Hospital,20 Edith Street,Waratah,New South Wales,2298,,249211211,Public,Public,Yes,,-32.899371,151.720858
143,143,Calvary North Adelaide Hospital,89 Strangways Terrace,Nth Adelaide,South Australia,5006,,882399100,Private,Private,Yes,,-34.910003,138.589095
144,144,Calvary Private Hospital Bruce,Corner of Belconnen Way and Haydon Drive,Bruce,Australian Capital Territory,2617,,262016363,Private,Private,No,,-35.252882,149.088646
145,145,Calvary Public Hospital,Haydon Drive,Bruce,Australian Capital Territory,2617,,262016111,Public,Public,Yes,,-35.253321,149.089654
146,146,Calvary Rehabilitation Hospital,18 North East Road,Walkerville,South Australia,5081,,881685700,Private,Private,No,,-34.891739,138.611481
147,147,Calvary Wakefield Hospital,300 Wakefield Street,Adelaide,South Australia,5000,,884053333,Private,Private,Yes,,-34.927689,138.611154
148,148,Camden Hospital,65 Menangle Road,Camden,New South Wales,2570,,246343000,Public,Public,No,,-34.062702,150.693297
149,149,Campbell Town Multi Purpose Service,70 High Street,Campbell Town,Tasmania,7210,,367748000,Public,Public,No,,-41.926339,147.493107
150,150,Campbelltown Hospital,Therry Road,Campbelltown,New South Wales,2560,,246343000,Public,Public,Yes,,-34.077651,150.806321
151,151,Campbelltown Private Hospital,42 Parkside Crescent (Corner of Hyde Street),Campbelltown,New South Wales,2560,,246219111,Private,Private,No,,-34.075607,150.804948
152,152,Canberra Imaging Group Angiography/Interventional Suite,173 Strickland Cresent,Deakin,Australian Capital Territory,2600,,262032092,Private,Private,No,,-35.318557,149.096004
153,153,Canossa Private Hospital,169 Seventeen Mile Rocks Road,Oxley,Queensland,4075,,737175555,Private,Private,No,,-27.554703,152.963716
154,154,Canowindra Hospital,Browns Avenue,Canowindra,New South Wales,2804,,263403033,Public,Public,No,,-33.557204,148.676576
155,155,Canterbury Hospital,575 Canterbury Road,Campsie,New South Wales,2194,,297870000,Public,Public,Yes,,-33.919592,151.098275
156,156,Capricorn Coast Hospital,8 Hoskyn Drive,Yeppoon,Queensland,4703,,749133000,Public,Public,No,,-23.143888,150.734519
157,157,Caritas Christi Hospice [Kew],104 Studley Park Road,Kew,Victoria,3101,,392315000,Public,Public,No,,-37.804706,145.015557
158,158,Carnarvon Hospital,Cleaver Street,Carnarvon,Western Australia,6701,,899410555,Public,Public,No,,-24.886592,113.658993
159,159,Casey Hospital,52 Kangan Drive,Berwick,Victoria,3806,,387681200,Public,Public,Yes,,-38.045325,145.347181
160,160,Casino Hospital,Hotham Street,Casino,New South Wales,2470,,266622111,Public,Public,No,,-28.859839,153.035827
161,161,Casterton Memorial Hospital,63-69 Russell Street,Casterton,Victoria,3311,,355542555,Public,Public,No,,-37.589989,141.392283
162,162,Castle Hill Day Surgery,72-74 Cecil Avenue,Castle Hill,New South Wales,2154,,288500500,Private,Private,No,,-33.73507,151.004099
163,163,Castlecrag Private Hospital,150 Edinburgh Road,Castlecrag,New South Wales,2068,,299350200,Private,Private,No,,-33.801822,151.217045
164,164,Castlemaine Health,142 Cornish Street,Castlemaine,Victoria,3450,,354711555,Public,Public,No,,-37.052539,144.212315
165,165,Caulfield Hospital,260-294 Kooyong Road,Caulfield,Victoria,3162,,390766000,Public,Public,Yes,,-37.882707,145.016892
166,166,Ceduna District Health Service,3 Eyre Highway,Ceduna,South Australia,5690,,886262110,Public,Public,No,,-32.119099,133.672317
167,167,Central Coast Day Hospital,"Suite 1, Fountain Corporate, 2 Ilya Avenue",Erina,New South Wales,2250,,243673880,Private,Private,No,,-33.439692,151.384354
168,168,Central Gippsland Health Service [Maffra],48 Kent Street,Maffra,Victoria,3860,,351470100,Public,Public,No,,-37.961032,146.983487
169,169,Central Gippsland Health Service [Sale],155 Guthridge Parade,Sale,Victoria,3850,,351438600,Public,Public,No,,-38.108408,147.080637
170,170,Central Yorke Peninsula Hospital (Maitland),65 Robert Street,Maitland,South Australia,5573,,888622626,Public,Public,No,,-34.370494,137.673947
171,171,Centre for Digestive Diseases,"Level 1, 229 Great North Road",Five Dock,New South Wales,2046,,297134011,Private,Private,Yes,,-33.865117,151.130092
172,172,Cessnock Hospital,24 View Street,Cessnock,New South Wales,2325,,249910555,Public,Public,No,,-32.827754,151.348396
173,173,Charleville Hospital,72 King Street,Charleville,Queensland,4470,,746505000,Public,Public,No,,-26.410455,146.239228
174,174,Charters Towers Hospital,137-139 Gill Street,Charters Towers,Queensland,4820,,747870333,Public,Public,No,,-20.076167,146.264097
175,175,Charters Towers Rehabilitation Unit,35 Gladstone Road,Charters Towers,Queensland,4820,,747875200,Public,Public,No,,-20.076801,146.280459
176,176,Chatswood Private Hospital,"Suite 1, 38B Albert Avenue",Chatswood,New South Wales,2067,,294134822,Private,Private,No,,-33.797612,151.185691
177,177,Cherbourg Hospital,Fisher Street,Cherbourg,Queensland,4605,,741698800,Public,Public,No,,-26.291519,151.956324
178,178,Chermside Day Hospital,1/956 Gympie Road,Chermside,Queensland,4032,,731203444,Private,Private,No,,-27.381971,153.029423
179,179,Chesterville Day Hospital,28 Chesterville Road,Cheltenham,Victoria,3192,,395853777,Private,Private,No,,-37.96046,145.0568
180,180,Childers Hospital,44 Broadhurst Street,Childers,Queensland,4660,,741921133,Public,Public,No,,-25.239416,152.273286
181,181,Chinchilla Hospital,Slessar Street,Chinchilla,Queensland,4413,,746628888,Public,Public,No,,-26.741337,150.634939
182,182,Chris O’Brien Lifehouse,119-143 Missenden Road,Camperdown,New South Wales,2050,,228514000,Private,Private,Yes,,-33.890577,151.182234
183,183,Clare Hospital,47 Farrell Flat Road,Clare,South Australia,5453,,888426500,Public,Public,No,,-33.829588,138.614416
184,184,Clermont Hospital,Francis Street,Clermont,Queensland,4721,,749834000,Public,Public,No,,-22.826219,147.632174
185,185,Cleve District Hospital and Aged Care,North Terrace,Cleve,South Australia,5640,,886282665,Public,Public,No,,-33.697779,136.494162
186,186,Cloncurry Hospital,1 Musgrave Street,Cloncurry,Queensland,4824,,747424500,Public,Public,No,,-20.704166,140.527571
187,187,Cobar Health Service,Lerida Road,Cobar,New South Wales,2835,,268302111,Public,Public,No,,-31.509026,145.825266
188,188,Cobram District Hospital,24-32 Broadway Street,Cobram,Victoria,3644,,358710777,Public,Public,No,,-35.916273,145.651029
189,189,Coffs Day Hospital,69 Albany Street,Coffs Harbour,New South Wales,2450,,266001000,Private,Private,No,,-30.300233,153.115865
190,190,Coffs Harbour Hospital,345 Pacific Highway,Coffs Harbour,New South Wales,2450,,266567000,Public,Public,Yes,,-30.317579,153.093667
191,191,Cohuna District Hospital,144-158 King George Street,Cohuna,Victoria,3568,,354565300,Public,Public,No,,-35.800063,144.214911
192,192,Colac Area Health,2-28 Connor Street,Colac,Victoria,3250,,352325100,Public,Public,No,,-38.341201,143.582854
193,193,Coledale Hospital,636 Lawrence Hargrave Drive,Coledale,New South Wales,2515,,242670111,Public,Public,No,,-34.283797,150.950796
194,194,Colin Street Day Hospital,51 Colin Street,West Perth,Western Australia,6005,,893214256,Private,Private,No,,-31.949358,115.841569
195,195,Collarenebri Multi Purpose Service,Walgett Street,Collarenebri,New South Wales,2833,,267564800,Public,Public,No,,-29.544889,148.581901
196,196,Collie Hospital,Corner of Steere and Deakin Streets,Collie,Western Australia,6225,,897351333,Public,Public,No,,-33.351403,116.162223
197,197,Collinsville Hospital,Garrick Street,Collinsville,Queensland,4804,,747854777,Public,Public,No,,-20.546108,147.838146
198,198,Concord Hospital,Hospital Road,Concord,New South Wales,2139,,297675000,Public,Public,Yes,,-33.837288,151.092664
199,199,Condobolin Health Service,Madline Street,Condobolin,New South Wales,2877,,268901500,Public,Public,No,,-33.082332,147.154161
200,200,Coober Pedy Hospital and Health Service,Lot 89 Hospital Road,Coober Pedy,South Australia,5723,,886725009,Public,Public,No,,-29.004893,134.762066
201,201,Cooktown Hospital,48 Hope Street,Cooktown,Queensland,4895,,740430100,Public,Public,No,,-15.478067,145.249616
202,202,Coolah Multi Purpose Service,111-135 Martin Street,Coolah,New South Wales,2843,,263779100,Public,Public,No,,-31.821473,149.710049
203,203,Coolamon Multi Purpose Service,Doctor Buchanan Drive,Coolamon,New South Wales,2701,,269273303,Public,Public,No,,-34.819885,147.199329
204,204,Coolenberg Day Surgery,60 Lake Road,Port Macquarie,New South Wales,2444,,265840368,Private,Private,Yes,,-31.439829,152.909473
205,205,Cooma Hospital,Bent Street,Cooma,New South Wales,2630,,264553222,Public,Public,No,,-36.241389,149.130499
206,206,Coonabarabran Health Service,101-103 Edwards Street,Coonabarabran,New South Wales,2357,,268266100,Public,Public,No,,-31.274791,149.284779
207,207,Coonamble Multi Purpose Service,150 Castlereagh Street,Coonamble,New South Wales,2829,,268271100,Public,Public,No,,-30.964803,148.387527
208,208,Cootamundra Hospital,120 Mackay Street,Cootamundra,New South Wales,2590,,269420444,Public,Public,No,,-34.634386,148.012796
209,209,Coral Tree Family Centre,Badajoz And Twin Roads,North Ryde,New South Wales,2113,,298875830,Public,Public,No,,-33.804256,151.126212
