id,name,address,city,state,zip,phone,type,ownership,emergency,quality,LAT,LON
100,Country WA,16-18 Peninsula Road,Bridgetown,Western Australia,6255,08 9782 1222,,,,,-33.951681,116.132183
101,,"Suite 7, 5 Dann Close",Garran,Australian Capital Territory,2605,02 6282 7788,,,,,-35.3495,149.1031
102,,Suites 16-18/259 McCullough Street,Sunnybank,Queensland,4109,07 3344 1844,,,,,-27.572418,153.061985
103,,259 Wickham Terrace,Brisbane,Queensland,4000,07 3834 6111,,,,,-27.464756,153.022642
104,,21 Vidler Avenue,Woy Woy,New South Wales,2256,02 4341 9522,,,,,-33.495233,151.321708
105,North Western Melbourne,35 Johnstone Street,Broadmeadows,Victoria,3047,03 8345 5000,,,,,-37.684321,144.913106
106,Western NSW,176 Thomas Street,Broken Hill,New South Wales,2880,08 8080 1333,,,,,-31.947609,141.454703
107,Country WA,Robinson Street,Broome,Western Australia,6725,08 9194 2222,,,,,-17.960975,122.236289
108,Country WA,35 Dunstall Street,Bruce Rock,Western Australia,6418,08 9061 1311,,,,,-31.873038,118.146414
109,,"Suite 5, 102 Wises Road",Maroochydore,Queensland,4558,07 5475 4464,,,,,-26.671731,153.084944
110,,12 Elsa Wilson Drive,Buderim,Queensland,4556,07 5430 3303,,,,,-26.683988,153.092895
111,Hunter New England and Central Coast,Richmond Street,Bulahdelah,New South Wales,2423,02 4987 9900,,,,,-32.403949,152.210029
112,South Eastern NSW,Hospital Road,Bulli,New South Wales,2516,02 4284 4344,,,,,-34.336667,150.907344
113,Country WA,Corner of Robertson Drive and Bussell Highway,Bunbury,Western Australia,6230,08 9722 1000,,,,,-33.366986,115.648183
114,"Central Queensland, Wide Bay and Sunshine Coast",Bourbong Street,Bundaberg,Queensland,4670,07 4150 2222,,,,,-24.868877,152.336157
115,North Western Melbourne,1231 Plenty Road,Bundoora,Victoria,3083,03 9495 3100,,,,,-37.701124,145.055569
116,,120 Kensington Road,Toorak Gardens,South Australia,5065,08 8202 7222,,,,,-34.927126,138.638878
117,Country SA,46 Commercial Street,Burra,South Australia,5417,08 8892 2300,,,,,-33.685486,138.934577
118,Country WA,Mill Road,Busselton,Western Australia,6280,08 9753 6000,,,,,-33.654351,115.319581
119,North Coast,54 Ewingsdale Road,Ewingsdale,New South Wales,2481,02 6639 9400,,,,,-28.637365,153.555898
120,Brisbane North,McKean Street,Caboolture,Queensland,4510,07 5433 8888,,,,,-27.080776,152.963623
121,,McKean Street,Caboolture,Queensland,4510,07 5495 9400,,,,,-27.080318,152.963628
122,,243 New Street,Brighton,Victoria,3186,03 9508 8777,,,,,-37.91165,144.991572
123,,494 Glenhuntly Road,Elsternwick,Victoria,3185,03 9508 5200,,,,,-37.88543,145.009328
124,,2-6 Hopetoun Street,Elsternwick,Victoria,3185,03 9508 5100,,,,,-37.884778,145.01039
125,,183 Wattletree Road,Malvern,Victoria,3144,03 9508 1222,,,,,-37.861641,145.0335
126,,646 High Street,Prahran,Victoria,3181,03 95081000,,,,,-37.854034,145.009017
127,,156-160 Grafton Street,Cairns,Queensland,4870,07 4051 5454,,,,,-16.918973,145.771955
128,Northern Queensland,The Esplanade,Cairns,Queensland,4870,07 4226 0000,,,,,-16.912537,145.768522
129,,1 Upward Street,Cairns,Queensland,4870,07 4052 5200,,,,,-16.918854,145.772282
130,"Central Queensland, Wide Bay and Sunshine Coast",West Terrace,Caloundra,Queensland,4551,07 5436 8500,,,,,-26.800582,153.119759
131,,96 Beerburrum Street,Caloundra,Queensland,4551,07 5491 1522,,,,,-26.782379,153.125534
132,,25-37 Jarvis Road,Elizabeth Vale,South Australia,5112,08 8250 4111,,,,,-34.75542,138.656221
133,South Eastern Melbourne,152 Como Parade West,Parkdale,Victoria,3195,03 9596 2853,,,,,-37.896962,145.013415
134,,Hardy Avenue,Wagga Wagga,New South Wales,2650,02 6925 3055,,,,,-35.118702,147.352811
135,,49 Augusta Road,Lenah Valley,Tasmania,7008,03 6278 5333,,,,,-42.866099,147.303614
136,,30 Cascade Road,South Hobart,Tasmania,7004,03 6323 7444,,,,,-42.895314,147.305975
137,,24 Lyttleton Street,Launceston,Tasmania,7250,03 6335 3333,,,,,-41.433895,147.149521
138,,5 Frederick Street,Launceston,Tasmania,7250,03 6332 4999,,,,,-41.441013,147.141308
139,Central and Eastern Sydney,91-101 Rocky Point Road,Kogarah,New South Wales,2217,02 9553 3111,,,,,-33.976132,151.136206
140,,173 Strickland Crescent,Deakin,Australian Capital Territory,2600,02 6281 8100,,,,,-35.319869,149.095662
141,Hunter New England and Central Coast,20 Edith Street,Waratah,New South Wales,2298,02 4921 1211,,,,,-32.899371,151.720858
142,,89 Strangways Terrace,Nth Adelaide,South Australia,5006,08 8239 9100,,,,,-34.910003,138.589095
143,,Corner of Belconnen Way and Haydon Drive,Bruce,Australian Capital Territory,2617,02 6201 6363,,,,,-35.252882,149.088646
144,Australian Capital Territory,Haydon Drive,Bruce,Australian Capital Territory,2617,02 6201 6111,,,,,-35.253321,149.089654
145,,18 North East Road,Walkerville,South Australia,5081,08 8168 5700,,,,,-34.891739,138.611481
146,,300 Wakefield Street,Adelaide,South Australia,5000,08 8405 3333,,,,,-34.927689,138.611154
147,South Western Sydney,65 Menangle Road,Camden,New South Wales,2570,02 4634 3000,,,,,-34.062702,150.693297
148,Tasmania,70 High Street,Campbell Town,Tasmania,7210,03 6774 8000,,,,,-41.926339,147.493107
149,South Western Sydney,Therry Road,Campbelltown,New South Wales,2560,02 4634 3000,,,,,-34.077651,150.806321
150,,42 Parkside Crescent (Corner of Hyde Street),Campbelltown,New South Wales,2560,02 4621 9111,,,,,-34.075607,150.804948
151,,173 Strickland Cresent,Deakin,Australian Capital Territory,2600,02 6203 2092,,,,,-35.318557,149.096004
152,,169 Seventeen Mile Rocks Road,Oxley,Queensland,4075,07 3717 5555,,,,,-27.554703,152.963716
153,Western NSW,Browns Avenue,Canowindra,New South Wales,2804,02 6340 3033,,,,,-33.557204,148.676576
154,Central and Eastern Sydney,575 Canterbury Road,Campsie,New South Wales,2194,02 9787 0000,,,,,-33.919592,151.098275
155,"Central Queensland, Wide Bay and Sunshine Coast",8 Hoskyn Drive,Yeppoon,Queensland,4703,07 4913 3000,,,,,-23.143888,150.734519
156,Eastern Melbourne,104 Studley Park Road,Kew,Victoria,3101,03 9231 5000,,,,,-37.804706,145.015557
157,Country WA,Cleaver Street,Carnarvon,Western Australia,6701,08 9941 0555,,,,,-24.886592,113.658993
158,South Eastern Melbourne,52 Kangan Drive,Berwick,Victoria,3806,03 8768 1200,,,,,-38.045325,145.347181
159,North Coast,Hotham Street,Casino,New South Wales,2470,02 6662 2111,,,,,-28.859839,153.035827
160,Western Victoria,63-69 Russell Street,Casterton,Victoria,3311,03 5554 2555,,,,,-37.589989,141.392283
161,,72-74 Cecil Avenue,Castle Hill,New South Wales,2154,02 8850 0500,,,,,-33.73507,151.004099
162,,150 Edinburgh Road,Castlecrag,New South Wales,2068,02 9935 0200,,,,,-33.801822,151.217045
163,Murray,142 Cornish Street,Castlemaine,Victoria,3450,03 5471 1555,,,,,-37.052539,144.212315
164,South Eastern Melbourne,260-294 Kooyong Road,Caulfield,Victoria,3162,03 9076 6000,,,,,-37.882707,145.016892
165,Country SA,3 Eyre Highway,Ceduna,South Australia,5690,08 8626 2110,,,,,-32.119099,133.672317
166,,"Suite 1, Fountain Corporate, 2 Ilya Avenue",Erina,New South Wales,2250,02 4367 3880,,,,,-33.439692,151.384354
167,Gippsland,48 Kent Street,Maffra,Victoria,3860,03 5147 0100,,,,,-37.961032,146.983487
168,Gippsland,155 Guthridge Parade,Sale,Victoria,3850,03 5143 8600,,,,,-38.108408,147.080637
169,Country SA,65 Robert Street,Maitland,South Australia,5573,08 8862 2626,,,,,-34.370494,137.673947
170,,"Level 1, 229 Great North Road",Five Dock,New South Wales,2046,02 9713 4011,,,,,-33.865117,151.130092
171,Hunter New England and Central Coast,24 View Street,Cessnock,New South Wales,2325,02 4991 0555,,,,,-32.827754,151.348396
172,Western Queensland,72 King Street,Charleville,Queensland,4470,07 4650 5000,,,,,-26.410455,146.239228
173,Northern Queensland,137-139 Gill Street,Charters Towers,Queensland,4820,07 4787 0333,,,,,-20.076167,146.264097
174,Northern Queensland,35 Gladstone Road,Charters Towers,Queensland,4820,07 4787 5200,,,,,-20.076801,146.280459
175,,"Suite 1, 38B Albert Avenue",Chatswood,New South Wales,2067,02 9413 4822,,,,,-33.797612,151.185691
176,Darling Downs and West Moreton,Fisher Street,Cherbourg,Queensland,4605,07 4169 8800,,,,,-26.291519,151.956324
177,,1/956 Gympie Road,Chermside,Queensland,4032,07 3120 3444,,,,,-27.381971,153.029423
178,,28 Chesterville Road,Cheltenham,Victoria,3192,03 9585 3777,,,,,-37.96046,145.0568
179,"Central Queensland, Wide Bay and Sunshine Coast",44 Broadhurst Street,Childers,Queensland,4660,07 4192 1133,,,,,-25.239416,152.273286
180,Darling Downs and West Moreton,Slessar Street,Chinchilla,Queensland,4413,07 4662 8888,,,,,-26.741337,150.634939
181,Central and Eastern Sydney,119-143 Missenden Road,Camperdown,New South Wales,2050,02 2851 4000,,,,,-33.890577,151.182234
182,Country SA,47 Farrell Flat Road,Clare,South Australia,5453,08 8842 6500,,,,,-33.829588,138.614416
183,Northern Queensland,Francis Street,Clermont,Queensland,4721,07 4983 4000,,,,,-22.826219,147.632174
184,Country SA,North Terrace,Cleve,South Australia,5640,08 8628 2665,,,,,-33.697779,136.494162
185,Western Queensland,1 Musgrave Street,Cloncurry,Queensland,4824,07 4742 4500,,,,,-20.704166,140.527571
186,Western NSW,Lerida Road,Cobar,New South Wales,2835,02 6830 2111,,,,,-31.509026,145.825266
187,Murray,24-32 Broadway Street,Cobram,Victoria,3644,03 5871 0777,,,,,-35.916273,145.651029
188,,69 Albany Street,Coffs Harbour,New South Wales,2450,02 6600 1000,,,,,-30.300233,153.115865
189,North Coast,345 Pacific Highway,Coffs Harbour,New South Wales,2450,02 6656 7000,,,,,-30.317579,153.093667
190,Murray,144-158 King George Street,Cohuna,Victoria,3568,03 5456 5300,,,,,-35.800063,144.214911
191,Western Victoria,2-28 Connor Street,Colac,Victoria,3250,03 5232 5100,,,,,-38.341201,143.582854
192,South Eastern NSW,636 Lawrence Hargrave Drive,Coledale,New South Wales,2515,02 4267 0111,,,,,-34.283797,150.950796
193,,51 Colin Street,West Perth,Western Australia,6005,08 9321 4256,,,,,-31.949358,115.841569
194,Western NSW,Walgett Street,Collarenebri,New South Wales,2833,02 6756 4800,,,,,-29.544889,148.581901
195,Country WA,Corner of Steere and Deakin Streets,Collie,Western Australia,6225,08 9735 1333,,,,,-33.351403,116.162223
196,Northern Queensland,Garrick Street,Collinsville,Queensland,4804,07 4785 4777,,,,,-20.546108,147.838146
197,Central and Eastern Sydney,Hospital Road,Concord,New South Wales,2139,02 9767 5000,,,,,-33.837288,151.092664
198,Western NSW,Madline Street,Condobolin,New South Wales,2877,02 6890 1500,,,,,-33.082332,147.154161
199,Country SA,Lot 89 Hospital Road,Coober Pedy,South Australia,5723,08 8672 5009,,,,,-29.004893,134.762066
200,Northern Queensland,48 Hope Street,Cooktown,Queensland,4895,07 4043 0100,,,,,-15.478067,145.249616
201,Western NSW,111-135 Martin Street,Coolah,New South Wales,2843,02 6377 9100,,,,,-31.821473,149.710049
202,Murrumbidgee,Doctor Buchanan Drive,Coolamon,New South Wales,2701,02 6927 3303,,,,,-34.819885,147.199329
203,,60 Lake Road,Port Macquarie,New South Wales,2444,02 6584 0368,,,,,-31.439829,152.909473
204,South Eastern NSW,Bent Street,Cooma,New South Wales,2630,02 6455 3222,,,,,-36.241389,149.130499
205,Western NSW,101-103 Edwards Street,Coonabarabran,New South Wales,2357,02 6826 6100,,,,,-31.274791,149.284779
206,Western NSW,150 Castlereagh Street,Coonamble,New South Wales,2829,02 6827 1100,,,,,-30.964803,148.387527
207,Murrumbidgee,120 Mackay Street,Cootamundra,New South Wales,2590,02 6942 0444,,,,,-34.634386,148.012796
208,Northern Sydney,Badajoz And Twin Roads,North Ryde,New South Wales,2113,02 9887 5830,,,,,-33.804256,151.126212
209,Murrumbidgee,74 Guy Street,Corowa,New South Wales,2646,02 6033 1333,,,,,-35.993528,146.383541
210,Country WA,49 Kirkwood Street,Corrigin,Western Australia,6375,08 9063 0333,,,,,-32.324419,117.878816
211,,92 David Street,Dandenong,Victoria,3175,03 9791 3533,,,,,-37.977201,145.21715
212,Country SA,17 South Terrace,Cowell,South Australia,5602,08 8629 2437,,,,,-33.685299,136.921405
213,Western NSW,64 Liverpool Street,Cowra,New South Wales,2794,02 6340 9000,,,,,-33.832137,148.692376
214,North Western Melbourne,274-304 Craigieburn Road,Craigieburn,Victoria,3064,03 8338 3000,,,,,-37.596015,144.91928
215,South Eastern Melbourne,140-154 Sladen Street,Cranbourne,Victoria,3977,03 5990 6789,,,,,-38.113312,145.280832
216,Western Victoria,1 Napier Street,Creswick,Victoria,3363,03 5345 2403,,,,,-37.421192,143.891533
217,South Eastern NSW,17 Kialla Road,Crookwell,New South Wales,2583,02 4832 1300,,,,,-34.464222,149.467427
218,,"Level 1, 22 Clarke Street",Crows Nest,New South Wales,2065,02 9955 5677,,,,,-33.825083,151.199293
219,Country SA,Edmund Terrace,Crystal Brook,South Australia,5523,08 8636 1100,,,,,-33.354297,138.213243
220,Murrumbidgee,51-55 Balfour Street,Culcairn,New South Wales,2660,02 6029 8203,,,,,-35.667399,147.042104
221,Western Sydney,1-11 Hainsworth Street,Westmead,New South Wales,2145,02 9840 3000,,,,,-33.80159,150.995246
222,Country SA,19-21 Tumby Bay Road,Cummins,South Australia,5631,08 8688 2629,,,,,-34.264155,135.73316
223,Country WA,Cubbine Road,Cunderdin,Western Australia,6407,08 9635 2222,,,,,-31.654404,117.244226
224,Western Queensland,56 Wicks Street,Cunnamulla,Queensland,4490,07 4655 8100,,,,,-28.071658,145.690405
225,Darling Downs and West Moreton,Hospital Road,Dalby,Queensland,4405,07 4669 0555,,,,,-27.167153,151.278905
226,Country WA,Myers Street,Dalwallinu,Western Australia,6609,08 9661 0200,,,,,-30.277229,116.656544
227,North Western Melbourne,Riding-Boundary Road,Deer Park,Victoria,3023,03 8684 0000,,,,,-37.781307,144.742309
228,South Eastern Melbourne,105-135 David Street,Dandenong,Victoria,3175,03 9554 1000,,,,,-37.976459,145.218529
229,,Rocklands Drive,Tiwi,Northern Territory,810,08 8920 6011,,,,,-12.357357,130.881789
230,South Eastern NSW,85 Tannery Road,Berry,New South Wales,2535,02 4464 1001,,,,,-34.775909,150.712819
231,Western Victoria,13 Hospital Street,Daylesford,Victoria,3460,03 5321 6500,,,,,-37.337365,144.145774
232,,"Level 4, Suite 4402, Dee Why Grand, 834 Pittwater Road",Dee Why,New South Wales,2099,02 9982 6333,,,,,-33.75674,151.28363
233,South Eastern NSW,15 Craigie Street,Delegate,New South Wales,2633,02 6459 8000,,,,,-37.04496,148.945958
234,Tasmania,East Barrack Street,Deloraine,Tasmania,7304,03 6701 2111,,,,,-41.528033,146.659605
235,Murrumbidgee,411 Charlotte Street,Deniliquin,New South Wales,2710,03 5882 2800,,,,,-35.524044,144.963301
236,Hunter New England and Central Coast,51-53 Ogilvie Street,Denman,New South Wales,2328,02 6547 3999,,,,,-32.389483,150.684453
237,Country WA,50 Scotsdale Road,Denmark,Western Australia,6333,08 9848 0600,,,,,-34.957977,117.353489
238,North Western Melbourne,720 Swanston Street,Carlton,Victoria,3053,03 9341 1000,,,,,-37.799299,144.964529
239,Country WA,Clarendon Street,Derby,Western Australia,6728,08 9193 3333,,,,,-17.306339,123.633399
240,,601/438 Victoria Street,Darlinghurst,New South Wales,2010,02 8382 6622,,,,,-33.879519,151.220852
241,Western Victoria,32-36 Anderson Street,Dimboola,Victoria,3414,03 5389 1301,,,,,-36.449887,142.024286
242,Western Queensland,Corner of Jane and Cowildi Streets,Dirranbandi,Queensland,4486,07 4625 8222,,,,,-28.579349,148.229159
243,North Western Melbourne,29-35 Grant Street,Bacchus Marsh,Victoria,3340,03 5367 2000,,,,,-37.678267,144.433264
244,Country WA,48 Blenheim Road,Dongara,Western Australia,6525,08 9927 0200,,,,,-29.265173,114.934179
245,Country WA,Bentley Street,Donnybrook,Western Australia,6239,08 9780 4333,,,,,-33.576942,115.816547
246,,1119 Doncaster Road,Donvale,Victoria,3111,03 9841 1400,,,,,-37.789836,145.171655
247,Western Queensland,Sharpe Street,Doomadgee,Queensland,4830,07 4745 8800,,,,,-17.942527,138.825267
248,North Coast,14 Beech Street,Dorrigo,New South Wales,2453,02 6692 7700,,,,,-30.340625,152.713882
249,,146 Derby Street,Pascoe Vale,Victoria,3044,03 8371 9477,,,,,-37.723402,144.947436
