USPS,ST,NAME,ZCTA5,LAT,LON
New South Wales,NSW,Pambula Beach,2549,-36.94474,149.8991
New South Wales,NSW,Pericoe,2550,-37.05439,149.58422
New South Wales,NSW,Quaama,2550,-36.46639,149.89039
New South Wales,NSW,Reedy Swamp,2550,-36.69954,149.90468
New South Wales,NSW,Rocky Hall,2550,-36.92254,149.50501
New South Wales,NSW,South Pambula,2549,-36.94869,149.85359
New South Wales,NSW,South Wolumla,2550,-36.85717,149.7657
New South Wales,NSW,Stony Creek (Bega Valley - NSW),2550,-36.61731,149.80198
New South Wales,NSW,Stony Creek (Bega Valley - NSW),2850,-32.47571,149.73022
New South Wales,NSW,Tanja,2550,-36.62516,149.96428
New South Wales,NSW,Tantawangalo,2550,-36.74382,149.57015
New South Wales,NSW,Tarraganda,2550,-36.6782,149.86563
New South Wales,NSW,Tathra,2550,-36.73733,149.96654
New South Wales,NSW,Timbillica,2551,-37.32308,149.73612
New South Wales,NSW,Toothdale,2550,-36.78034,149.75126
New South Wales,NSW,Towamba,2550,-37.10727,149.71173
New South Wales,NSW,Tura Beach,2548,-36.85986,149.92501
New South Wales,NSW,Verona,2550,-36.44744,149.80887
New South Wales,NSW,Wallaga Lake,2546,-36.36991,150.05482
New South Wales,NSW,Wallagoot,2550,-36.76604,149.92121
New South Wales,NSW,Wandella (NSW),2550,-36.30868,149.87001
New South Wales,NSW,Wapengo,2550,-36.58473,149.96608
New South Wales,NSW,Wolumla,2550,-36.81613,149.81469
New South Wales,NSW,Wonboyn,2551,-37.25588,149.93485
New South Wales,NSW,Wyndham (NSW),2550,-36.92217,149.63377
New South Wales,NSW,Yellow Pinch,2548,-36.85823,149.83571
New South Wales,NSW,Yowrie,2550,-36.3057,149.73565
New South Wales,NSW,Bellingen,2454,-30.45402,152.89238
New South Wales,NSW,Bielsdown Hills,2453,-30.37186,152.6712
New South Wales,NSW,Bostobrick,2453,-30.27688,152.6016
New South Wales,NSW,Brierfield,2454,-30.51557,152.91364
New South Wales,NSW,Cascade (NSW),2453,-30.23112,152.77418
New South Wales,NSW,Darkwood,2454,-30.429,152.63799
New South Wales,NSW,Deer Vale,2453,-30.34938,152.53928
New South Wales,NSW,Dorrigo,2453,-30.32769,152.69235
New South Wales,NSW,Dorrigo Mountain,2453,-30.3706,152.72224
New South Wales,NSW,Fernbrook,2453,-30.34349,152.61228
New South Wales,NSW,Fernmount,2454,-30.4767,152.94445
New South Wales,NSW,Gleniffer,2454,-30.38163,152.88327
New South Wales,NSW,Kalang,2454,-30.49504,152.71045
New South Wales,NSW,Kennaicle Creek,2449,-30.5289,152.8177
New South Wales,NSW,Megan,2453,-30.2997,152.77554
New South Wales,NSW,Mylestom,2454,-30.47587,153.04029
New South Wales,NSW,North Dorrigo,2453,-30.26491,152.68073
New South Wales,NSW,Raleigh,2454,-30.45824,152.99413
New South Wales,NSW,Repton,2454,-30.44154,153.03532
New South Wales,NSW,Spicketts Creek,2454,-30.53472,152.86273
New South Wales,NSW,Tallowwood Ridge,2453,-30.25599,152.72441
New South Wales,NSW,Thora,2454,-30.43682,152.77836
New South Wales,NSW,Urunga,2455,-30.51851,152.98859
New South Wales,NSW,Valery,2454,-30.38914,152.95808
New South Wales,NSW,Valla,2448,-30.58354,152.9584
New South Wales,NSW,Barooga,3644,-35.90962,145.69879
New South Wales,NSW,Berrigan,2712,-35.65031,145.82832
New South Wales,NSW,Boomanoomana,2712,-35.88667,145.8499
New South Wales,NSW,Finley,2713,-35.59323,145.57945
New South Wales,NSW,Lalalty,3644,-35.80535,145.71776
New South Wales,NSW,Mulwala,2647,-35.91969,146.05748
New South Wales,NSW,Savernake,2646,-35.73554,146.02409
New South Wales,NSW,Tocumwal,2714,-35.79102,145.5083
New South Wales,NSW,Acacia Gardens,2763,-33.73411,150.91377
New South Wales,NSW,Arndell Park,2148,-33.79031,150.88447
New South Wales,NSW,Bidwill (NSW),2770,-33.73005,150.82062
New South Wales,NSW,Blackett,2770,-33.73837,150.81532
New South Wales,NSW,Blacktown,2148,-33.77655,150.90338
New South Wales,NSW,Bungarribee,2767,-33.77976,150.86393
New South Wales,NSW,Colebee,2761,-33.72449,150.85843
New South Wales,NSW,Dean Park,2761,-33.73536,150.8596
New South Wales,NSW,Dharruk,2770,-33.74965,150.81483
New South Wales,NSW,Doonside,2767,-33.76242,150.87007
New South Wales,NSW,Eastern Creek,2766,-33.79734,150.84976
New South Wales,NSW,Emerton,2770,-33.7429,150.80586
New South Wales,NSW,Glendenning,2761,-33.74778,150.8557
New South Wales,NSW,Glenwood (NSW),2768,-33.73755,150.93545
New South Wales,NSW,Hassall Grove,2761,-33.73175,150.83793
New South Wales,NSW,Hebersham,2770,-33.74575,150.82394
New South Wales,NSW,Kellyville Ridge,2155,-33.70376,150.92052
New South Wales,NSW,Kings Langley,2147,-33.75075,150.93583
New South Wales,NSW,Kings Park (NSW),2148,-33.7437,150.9059
New South Wales,NSW,Lalor Park,2147,-33.76065,150.93136
New South Wales,NSW,Lethbridge Park,2770,-33.73806,150.80064
New South Wales,NSW,Marayong,2148,-33.74925,150.89081
New South Wales,NSW,Marsden Park,2765,-33.69979,150.81845
New South Wales,NSW,Minchinbury,2770,-33.78664,150.82899
New South Wales,NSW,Mount Druitt,2770,-33.76791,150.8136
New South Wales,NSW,Oakhurst (NSW),2761,-33.73724,150.83862
New South Wales,NSW,Parklea,2768,-33.72521,150.91722
New South Wales,NSW,Plumpton (NSW),2761,-33.75211,150.83639
New South Wales,NSW,Prospect (NSW),2148,-33.81244,150.90067
New South Wales,NSW,Quakers Hill,2763,-33.72826,150.88995
New South Wales,NSW,Riverstone,2765,-33.66886,150.85969
New South Wales,NSW,Rooty Hill,2766,-33.77213,150.845
New South Wales,NSW,Ropes Crossing,2760,-33.72757,150.77848
New South Wales,NSW,Rouse Hill,2155,-33.67757,150.91278
New South Wales,NSW,Schofields,2762,-33.70583,150.8735
New South Wales,NSW,Seven Hills (NSW),2147,-33.77743,150.94272
New South Wales,NSW,Shalvey,2770,-33.72788,150.80677
New South Wales,NSW,Shanes Park,2747,-33.70747,150.79135
New South Wales,NSW,Stanhope Gardens,2768,-33.71551,150.92733
New South Wales,NSW,The Ponds,2769,-33.70612,150.90622
New South Wales,NSW,Toongabbie (NSW),2146,-33.79196,150.9468
New South Wales,NSW,Tregear,2770,-33.74517,150.79271
New South Wales,NSW,Vineyard,2765,-33.64161,150.85208
New South Wales,NSW,Whalan,2770,-33.75572,150.80361
New South Wales,NSW,Willmot,2770,-33.72491,150.79165
New South Wales,NSW,Woodcroft (NSW),2767,-33.75523,150.88065
New South Wales,NSW,Alleena,2671,-34.09228,147.13518
New South Wales,NSW,Ardlethan,2665,-34.33458,146.84248
New South Wales,NSW,Ariah Park,2665,-34.30527,147.2019
New South Wales,NSW,Back Creek (Bland - NSW),2671,-33.84678,147.45639
New South Wales,NSW,Back Creek (Bland - NSW),2422,-31.9623,152.04938
New South Wales,NSW,Back Creek (Bland - NSW),2390,-30.10689,150.27122
New South Wales,NSW,Back Creek (Bland - NSW),2622,-35.34612,149.94415
New South Wales,NSW,Back Creek (Bland - NSW),2372,-28.95703,151.70533
New South Wales,NSW,Back Creek (Bland - NSW),2484,-28.41034,153.17285
New South Wales,NSW,Barellan,2665,-34.19626,146.60744
New South Wales,NSW,Barmedman,2668,-34.12202,147.42794
New South Wales,NSW,Beckom,2665,-34.28041,147.00069
New South Wales,NSW,Bland,2721,-34.02509,147.63048
New South Wales,NSW,Girral,2669,-33.66512,147.14846
New South Wales,NSW,Kamarah,2665,-34.3592,146.75343
New South Wales,NSW,Kikoira,2669,-33.6666,146.6636
New South Wales,NSW,Lake Cowal,2671,-33.66111,147.37522
New South Wales,NSW,Mirrool,2665,-34.23017,147.06294
New South Wales,NSW,Naradhan,2669,-33.65613,146.34992
New South Wales,NSW,North Yalgogrin,2671,-33.82292,146.84745
New South Wales,NSW,Quandialla,2721,-34.01933,147.78266
New South Wales,NSW,Rankins Springs,2669,-33.784,146.16148
New South Wales,NSW,Tallimba,2669,-34.0492,146.8819
New South Wales,NSW,Ungarie,2669,-33.58555,146.91685
New South Wales,NSW,Weethalle,2669,-33.86293,146.58443
New South Wales,NSW,West Wyalong,2671,-33.87275,147.11118
New South Wales,NSW,Wyalong,2671,-33.90311,147.30345
New South Wales,NSW,Barry (Blayney - NSW),2799,-33.64883,149.27212
New South Wales,NSW,Barry (Blayney - NSW),2340,-31.60187,151.28493
New South Wales,NSW,Blayney,2799,-33.53741,149.25456
New South Wales,NSW,Browns Creek,2799,-33.53635,149.14311
New South Wales,NSW,Burnt Yards,2792,-33.59022,149.02452
New South Wales,NSW,Caloola,2795,-33.63911,149.43494
New South Wales,NSW,Carcoar,2791,-33.61898,149.13598
New South Wales,NSW,Errowanbang,2791,-33.53048,149.03722
New South Wales,NSW,Forest Reefs,2798,-33.46567,149.07316
New South Wales,NSW,Garland,2797,-33.75886,149.03426
New South Wales,NSW,Hobbys Yards,2795,-33.69409,149.32413
New South Wales,NSW,Kings Plains (Blayney - NSW),2799,-33.48984,149.32401
New South Wales,NSW,Kings Plains (Blayney - NSW),2360,-29.5992,151.41494
New South Wales,NSW,Lyndhurst (Blayney - NSW),2350,-30.35785,152.05709
New South Wales,NSW,Lyndhurst (Blayney - NSW),2797,-33.68638,148.98683
New South Wales,NSW,Mandurama,2792,-33.65929,148.99372
New South Wales,NSW,Millthorpe,2798,-33.45554,149.19474
New South Wales,NSW,Moorilda,2795,-33.62768,149.32862
New South Wales,NSW,Neville,2799,-33.74508,149.2033
New South Wales,NSW,Newbridge (NSW),2795,-33.58241,149.373
New South Wales,NSW,Panuara,2800,-33.51918,148.928
New South Wales,NSW,Tallwood,2798,-33.50343,149.12112
New South Wales,NSW,Bell (NSW),2786,-33.50034,150.3026
New South Wales,NSW,Berambing,2758,-33.53268,150.44882
New South Wales,NSW,Blackheath,2785,-33.63908,150.28442
New South Wales,NSW,Blaxland (NSW),2774,-33.74507,150.61818
New South Wales,NSW,Bullaburra,2784,-33.72779,150.41952
New South Wales,NSW,Faulconbridge,2776,-33.68513,150.55384
New South Wales,NSW,Glenbrook,2773,-33.76592,150.62573
New South Wales,NSW,Hawkesbury Heights,2777,-33.67019,150.6452
New South Wales,NSW,Hazelbrook,2779,-33.72807,150.45754
New South Wales,NSW,Katoomba,2780,-33.7057,150.29458
New South Wales,NSW,Lapstone,2773,-33.77461,150.63551
New South Wales,NSW,Lawson (NSW),2783,-33.71817,150.4343
New South Wales,NSW,Leura,2780,-33.70979,150.33888
New South Wales,NSW,Linden (NSW),2778,-33.71095,150.49622
New South Wales,NSW,Medlow Bath,2780,-33.67971,150.28985
New South Wales,NSW,Megalong Valley,2785,-33.72707,150.22223
New South Wales,NSW,Mount Irvine,2786,-33.4798,150.45478
New South Wales,NSW,Mount Riverview,2774,-33.72773,150.63789
New South Wales,NSW,Mount Tomah,2758,-33.5426,150.42271
New South Wales,NSW,Mount Victoria,2786,-33.57768,150.24047
New South Wales,NSW,Mount Wilson,2786,-33.50403,150.39359
New South Wales,NSW,Springwood (NSW),2777,-33.69209,150.57478
New South Wales,NSW,Sun Valley (NSW),2777,-33.70782,150.59796
New South Wales,NSW,Valley Heights,2777,-33.71038,150.58383
New South Wales,NSW,Warrimoo,2774,-33.7239,150.61735
New South Wales,NSW,Wentworth Falls,2782,-33.72838,150.3799
New South Wales,NSW,Winmalee,2777,-33.67971,150.61119
New South Wales,NSW,Woodford (NSW),2778,-33.73781,150.47911
